aX;aY;aZ
-0.03;-0.03;1.02
0.05;-0.01;1.00
0.00;-0.02;1.02
0.02;0.00;1.00
-0.01;-0.04;1.00
-0.02;-0.01;1.02
0.03;-0.03;0.99
-0.02;-0.03;1.01
0.04;-0.00;1.00
0.01;-0.04;0.99
0.01;0.00;1.00
0.05;-0.02;1.00
-0.03;-0.01;1.02
0.02;0.00;1.00
-0.02;-0.04;1.01
-0.02;0.03;1.00
0.03;-0.03;0.99
-0.00;0.00;1.01
0.04;-0.01;1.00
-0.03;-0.02;1.02
0.01;0.00;1.00
-0.01;-0.04;1.00
-0.02;-0.01;1.02
-0.00;-0.02;1.00
0.01;-0.01;1.01
0.01;-0.01;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.01;-0.02;1.00
0.03;-0.04;0.99
-0.00;0.00;1.01
0.04;-0.01;1.00
-0.03;-0.02;1.02
0.02;0.00;1.00
-0.01;-0.04;1.00
0.03;0.00;1.00
0.03;-0.03;1.00
-0.01;-0.00;1.02
0.04;-0.00;1.00
-0.03;-0.02;1.02
0.00;0.00;1.01
-0.00;-0.04;0.99
-0.03;-0.02;1.02
0.04;-0.02;1.00
-0.02;-0.04;1.00
0.03;0.00;1.00
0.03;-0.03;0.99
-0.00;0.00;1.01
0.01;-0.04;0.99
-0.03;-0.02;1.02
0.04;-0.01;1.00
-0.01;-0.04;1.00
0.03;0.00;1.00
0.04;-0.02;1.00
-0.01;-0.00;1.02
0.04;0.00;1.00
-0.03;-0.03;1.02
0.00;0.00;1.01
-0.01;-0.02;1.00
0.01;-0.01;1.00
0.00;-0.01;1.00
0.05;-0.02;0.96
0.04;-0.02;0.98
-0.01;0.02;1.01
-0.07;0.07;1.01
-0.10;0.03;1.01
-0.15;0.02;1.01
-0.08;-0.05;1.01
-0.04;-0.07;1.03
0.44;-0.10;1.04
0.10;0.07;1.12
-0.14;0.06;0.98
-0.22;0.04;0.81
0.01;0.03;0.99
0.06;0.01;0.99
0.03;0.03;0.95
-0.04;0.00;1.01
-0.04;0.14;0.67
-0.11;0.10;1.09
-0.13;0.01;1.19
0.08;-0.29;0.95
-0.07;-0.24;1.00
0.28;-0.12;0.99
0.02;-0.15;1.04
-0.09;1.15;0.99
-0.06;0.02;1.05
-0.03;0.06;1.00
-0.01;0.02;0.99
-0.03;0.02;1.06
-0.05;0.00;1.05
-0.10;0.01;1.09
-0.10;0.02;1.00
-0.06;0.01;0.98
-0.01;0.01;0.99
-0.01;0.02;0.97
-0.01;-0.01;1.05
-0.02;-0.10;1.09
-0.05;-0.06;0.96
0.03;-0.52;1.11
-0.04;-0.04;0.92
-0.04;-0.09;0.96
-0.10;-0.12;0.96
-0.13;-0.20;0.96
-0.13;-0.16;0.97
-0.18;1.03;1.13
-0.30;0.35;0.82
-0.08;-0.04;1.00
-0.07;-0.01;1.00
0.05;-0.02;1.08
0.06;-0.06;1.00
-0.09;-0.04;1.20
-0.13;-0.01;1.12
0.02;0.04;0.91
0.03;0.05;0.94
0.05;-0.02;0.92
0.02;0.00;0.87
-0.03;0.00;0.92
-0.03;-0.06;0.91
0.05;-0.02;0.99
0.02;0.04;1.15
0.02;0.04;1.00
0.01;-0.01;1.01
0.01;-0.04;0.99
-0.04;-0.05;0.98
-0.05;-0.02;1.00
-0.08;0.01;0.97
-0.10;0.01;1.00
-0.06;-0.00;0.98
-0.11;-0.05;1.02
-0.08;-0.05;1.01
-0.06;-0.07;0.98
-0.06;-0.07;0.99
-0.03;-0.06;0.95
-0.05;-0.07;0.97
-0.04;-0.09;0.96
-0.09;-0.08;0.95
-0.10;-0.05;1.03
-0.06;-0.04;1.01
-0.10;-0.05;1.02
-0.06;-0.02;1.01
-0.04;0.06;1.02
-0.07;0.15;0.99
-0.07;0.18;1.00
-0.05;0.17;1.02
-0.06;0.17;0.99
-0.03;0.20;0.99
-0.01;0.19;0.99
0.06;0.12;0.99
0.06;0.09;0.99
0.01;0.00;0.99
0.02;-0.05;1.02
-0.03;-0.11;1.01
-0.03;-0.13;1.00
-0.01;-0.09;0.65
-0.00;-0.40;1.01
0.01;-0.19;1.03
0.01;-0.12;1.02
0.02;-0.10;1.00
-0.12;0.04;1.10
-0.17;0.06;1.21
-0.03;0.04;0.91
0.05;0.01;0.91
0.01;-0.07;0.90
0.03;-0.08;0.88
0.38;-0.05;1.28
0.06;0.13;1.84
0.02;0.04;0.87
0.15;0.02;1.01
0.04;0.02;1.01
0.05;-0.00;0.91
0.07;0.02;0.88
-0.05;-0.00;1.02
-0.13;-0.08;1.46
0.07;-0.05;1.02
0.00;0.01;1.03
0.01;-0.01;0.99
0.01;-0.02;1.02
0.03;-0.00;0.98
0.04;-0.01;0.99
-0.01;-0.01;1.01
-0.09;-0.01;0.99
-0.11;0.00;1.05
0.01;0.00;0.98
-0.00;-0.02;1.01
0.01;0.01;1.00
0.03;-0.03;1.00
-0.04;0.01;1.02
0.00;0.02;0.98
-0.02;-0.02;1.02
-0.02;-0.00;1.00
-0.25;-0.05;0.92
-0.05;-0.12;1.02
-0.09;0.02;1.18
0.02;-0.03;1.11
0.09;-0.05;0.98
0.04;0.01;0.96
0.07;0.03;0.95
0.12;0.01;0.96
0.14;-0.01;0.98
0.14;-0.03;0.97
0.14;-0.04;0.99
0.17;-0.04;0.96
0.17;-0.02;0.96
0.20;-0.03;0.99
0.19;-0.01;0.98
0.19;-0.03;0.93
0.25;-0.02;0.94
0.11;-0.05;0.99
0.20;-0.00;0.97
0.15;-0.02;0.96
0.15;-0.02;0.90
0.13;-0.02;0.89
0.05;-0.03;0.95
0.01;-0.02;0.95
-0.01;-0.01;1.09
-0.06;-0.00;1.33
0.05;-0.02;1.00
-0.07;0.01;0.98
0.04;-0.01;0.99
-0.00;-0.03;1.00
-0.03;0.00;1.00
-0.03;-0.03;1.00
-0.06;-0.00;1.02
-0.07;0.03;0.99
-0.10;0.03;1.01
-0.04;0.01;0.98
-0.05;-0.01;0.98
-0.04;0.01;0.99
-0.03;-0.00;0.96
-0.05;-0.00;1.00
-0.02;0.00;0.97
0.02;0.04;1.30
-0.03;-0.01;1.07
-0.02;-0.02;1.02
0.04;-0.03;1.08
0.04;-0.05;1.03
-0.02;-0.01;1.03
0.01;-0.01;0.99
0.03;-0.02;0.99
0.02;-0.02;1.00
-0.00;-0.02;1.05
-0.01;-0.01;1.01
0.01;-0.02;1.01
0.01;-0.02;1.01
-0.04;-0.01;1.03
-0.03;0.00;1.01
-0.03;-0.01;0.98
-0.04;-0.04;0.98
-0.03;-0.04;0.99
-0.02;-0.03;0.94
-0.05;-0.02;0.97
-0.00;-0.02;0.95
-0.05;-0.03;0.97
-0.09;0.01;1.02
-0.09;0.02;1.00
-0.10;0.01;1.02
-0.06;0.01;0.99
-0.06;-0.02;0.99
-0.03;-0.02;0.98
-0.00;-0.01;0.98
-0.01;0.00;0.99
-0.02;0.04;1.34
-0.05;-0.02;1.06
-0.01;-0.01;1.01
-0.06;-0.06;1.03
-0.04;-0.07;1.02
-0.11;0.01;1.03
-0.10;0.07;1.16
0.02;-0.02;0.99
-0.01;-0.03;0.98
-0.03;-0.02;0.98
-0.00;-0.03;0.91
-0.04;-0.03;0.95
0.01;-0.04;0.93
-0.03;-0.03;0.96
-0.00;0.01;1.00
0.02;0.13;1.43
-0.11;0.04;1.05
-0.04;0.00;1.02
-0.06;0.00;1.02
-0.07;0.00;1.01
0.01;-0.03;1.01
0.00;-0.02;1.00
0.05;-0.02;1.00
0.03;-0.01;0.99
0.08;-0.01;1.01
0.05;0.01;1.00
0.08;-0.02;0.94
-0.01;0.02;1.08
-0.01;0.01;0.87
-0.03;-0.04;0.90
-0.06;-0.04;0.92
-0.08;-0.02;1.09
-0.05;-0.02;1.05
0.01;-0.01;1.08
0.00;-0.04;0.98
0.03;-0.02;0.96
0.03;-0.02;0.94
